"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:MagneticBuzzer_ProSignal_ABT-410-RC","~"
"D1,D2","2","LED","","","","LED_SMD:LED_0402_1005Metric","~"
"J1","1","USB_A","","","","Connector_USB:USB_A_TE_292303-7_Horizontal","~"
"R1","1","2K2","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2,R3","2","1K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R7,R8","2","68","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1,SW2,SW3,SW4,SW5,SW6","6","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_CK_PTS125Sx73SMTR","~"
"U2","1","Adafruit SSD1306 1.3 inch","","","","SC:LCD_OLED_128X64_1.3_I2C",""
"U3","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
